 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
12995  160476  121149  54661   315.  15457. 101590  -0.0458+/- 0.0003  -0.8044+/- 0.0059    20.0  0.760  0.0797  -0.5348  -0.5667 -0.00055 0.00016 15.4
12999  191952  131458  56173   445.  15748. 101680  -0.0304+/- 0.0003  -0.5344+/- 0.0045    20.0  0.760  0.0797  -0.3323  -0.3558  0.00038 0.00020 15.4
13000  181872  120226  52145   384.  14610. 101696   0.0306+/- 0.0004   0.5374+/- 0.0064    20.0  0.760  0.0797   0.3354   0.3581  0.00002 0.00011-16.0
13001  155455  114627  45970   284.  15452. 101689  -0.0308+/- 0.0003  -0.5414+/- 0.0060    20.0  0.760  0.0797  -0.3571  -0.3847  0.00000 0.00019 15.4
13002  157590  109474  44401   277.  15195. 101695   0.0309+/- 0.0003   0.5436+/- 0.0056    20.0  0.760  0.0797   0.3624   0.3851  0.00019 0.00009-16.0
13003  153497  111550  44878   277.  15100. 101701  -0.0311+/- 0.0004  -0.5463+/- 0.0064    20.0  0.760  0.0797  -0.3606  -0.3867 -0.00005 0.00020 15.4
13004  155643  109512  44409   276.  15034. 101680   0.0308+/- 0.0003   0.5408+/- 0.0061    20.0  0.760  0.0797   0.3571   0.3887  0.00038 0.00018-16.0
13005  206093  151491  61655   502.  15375. 101677  -0.0286+/- 0.0004  -0.5387+/- 0.0070    20.0  0.760  0.0744  -0.3653  -0.3899  0.00061 0.00037 15.4
13006  208774  148397  59153   497.  15493. 101684   0.0292+/- 0.0003   0.5494+/- 0.0047    20.0  0.760  0.0744   0.3601   0.3951  0.00003 0.00011-16.0
13007  206521  152119  60491   506.  15559. 101691  -0.0289+/- 0.0002  -0.5441+/- 0.0047    20.0  0.760  0.0744  -0.3580  -0.3895  0.00005 0.00008 15.4
13008  207235  146638  58662   490.  15306. 101679   0.0291+/- 0.0003   0.5483+/- 0.0059    20.0  0.760  0.0744   0.3627   0.3921  0.00011 0.00009-16.0
13010  641265  460982 185122  4687.  13357. 101700   0.0315+/- 0.0002   0.5365+/- 0.0026    20.0  0.760  0.0821   0.3407   0.3696  0.00019 0.00049-16.0
13011  642671  479225 190307  4882.  13641. 101691  -0.0317+/- 0.0001  -0.5405+/- 0.0022    20.0  0.760  0.0821  -0.3448  -0.3738  0.00007 0.00008 15.4
13012  654526  472121 189620  4899.  13643. 101700   0.0317+/- 0.0001   0.5401+/- 0.0025    20.0  0.760  0.0821   0.3413   0.3759  0.00002 0.00009-16.0
13013  643150  476400 188331  4867.  13580. 101688  -0.0316+/- 0.0002  -0.5393+/- 0.0031    20.0  0.760  0.0821  -0.3437  -0.3735  0.00007 0.00013 15.4
