 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13114  217684  199652  68349   775.  20180. 101934   0.0441+/- 0.0004   0.7812+/- 0.0072    20.5  0.760  0.0793   0.4767   0.4631 -0.00041 0.00009 15.3
13129    6484    3121     30     0.  20515. 101878   0.0000+/- 0.0000   0.0000+/- 0.0000    20.5  0.760  0.0803   0.0000   0.0000  0.00000 0.00000-15.9
13130  239458  192904  71680  1050.  20206. 101927   0.0449+/- 0.0004   0.7852+/- 0.0071    20.5  0.760  0.0803   0.4442   0.4496  0.00012 0.00005 15.3
13131  189283  146256  60259   443.  20273. 101931  -0.0438+/- 0.0003  -0.7663+/- 0.0046    20.5  0.760  0.0802  -0.5097  -0.5447  0.00014 0.00004-15.9
13132  184899  147408  60556   434.  20210. 101933   0.0438+/- 0.0003   0.7661+/- 0.0045    20.5  0.760  0.0803   0.5096   0.5399  0.00014 0.00005 15.4
13133  187103  144637  59990   434.  20157. 101902  -0.0426+/- 0.0003  -0.7467+/- 0.0046    20.5  0.760  0.0802  -0.4995  -0.5407  0.00008 0.00005-15.9
13134  184410  147241  60506   435.  20146. 101893   0.0426+/- 0.0003   0.7453+/- 0.0045    20.5  0.760  0.0803   0.4996   0.5290  0.00011 0.00004 15.4
13135  186217  143634  59372   429.  20212. 101879  -0.0423+/- 0.0003  -0.7402+/- 0.0046    20.5  0.760  0.0802  -0.4924  -0.5312  0.00012 0.00006-15.9
13136  181520  144232  59010   420.  19975. 101913   0.0424+/- 0.0003   0.7410+/- 0.0046    20.5  0.760  0.0803   0.4971   0.5267  0.00012 0.00005 15.3
13137  183861  140712  58277   414.  19869. 101903  -0.0428+/- 0.0003  -0.7491+/- 0.0046    20.5  0.760  0.0802  -0.4980  -0.5354  0.00009 0.00004-15.9
13138  182386  144460  59084   420.  20023. 101909   0.0439+/- 0.0003   0.7680+/- 0.0046    20.5  0.760  0.0803   0.5067   0.5430  0.00009 0.00007 15.3
13139  256869  195931  82234   805.  19998. 101925  -0.0402+/- 0.0003  -0.7510+/- 0.0055    20.5  0.760  0.0753  -0.4985  -0.5377  0.00008 0.00008-15.9
13140  251266  199426  82275   804.  20016. 101925   0.0402+/- 0.0002   0.7537+/- 0.0042    20.5  0.760  0.0749   0.5027   0.5395  0.00014 0.00004 15.3
13141  256093  196079  81961   802.  20038. 101906  -0.0405+/- 0.0002  -0.7559+/- 0.0042    20.5  0.760  0.0753  -0.4999  -0.5394  0.00022 0.00012-15.9
13142  254293  201685  83358   819.  20218. 101892   0.0403+/- 0.0002   0.7553+/- 0.0042    20.5  0.760  0.0749   0.5067   0.5400  0.00016 0.00004 15.4
13143  418326  328535 132561  2185.   9257. 101907  -0.0441+/- 0.0002  -0.7533+/- 0.0037    20.5  0.760  0.0822  -0.4860  -0.5214  0.00025 0.00006-15.9
13144  408930  330640 131335  2154.   9144. 101927   0.0440+/- 0.0002   0.7515+/- 0.0037    20.5  0.760  0.0822   0.4840   0.5168  0.00027 0.00010 15.4
13145  418179  325828 131302  2166.   9201. 101916  -0.0442+/- 0.0002  -0.7542+/- 0.0038    20.5  0.760  0.0823  -0.4898  -0.5210  0.00035 0.00012-15.9
13146  407202  327993 131027  2124.   9107. 101921   0.0444+/- 0.0002   0.7599+/- 0.0037    20.5  0.760  0.0822   0.4961   0.5232  0.00018 0.00013 15.4
