*** 22-23 October 2009
* Run  Polarization,%  Error  
*      old       new  analysis
***** Target 5 Att=165  Slit=14.68
13699   88.49   88.85   0.52
13700  -89.34  -89.53   0.47
13701   90.06   90.13   0.43
13702  -89.84  -90.08   0.44
*** Average 13699-13702
***    -89.52  -89.72   0.23
** Chi2  2.07    1.51
***** Target 5 Att=120  Slit=15.94
13703   89.82   89.49   0.51
13704  -88.73  -89.93   0.48
13705   89.83   89.94   0.45
13706  -89.58  -89.80   0.44
*** Average 13703-13706
***    -89.50  -89.80   0.23
** Chi2  1.16    0.18
***** Target 4 Att=120  Slit=15.91
13707   89.53   88.76   0.46
13708  -90.03  -90.40   0.47
13709   89.96   90.12   0.49
13710  -89.88  -90.15   0.46
*** Average 13707-13710
***    -89.84  -89.84   0.24
** Chi2  0.23    2.57
***** Target 3 Att=120  Slit=15.50
13711   89.34   89.04   0.48
13712  -88.10  -88.14   0.48
13713   88.65   88.52   0.49
13714  -88.33  -88.26   0.49
*** Average 13711-13714
***    -88.61  -88.49   0.24
** Chi2  1.24     0.70
***** Target 2 Att=120  Slit=14.67
13715   88.74   88.75   0.40
13716  -90.84  -90.50   0.39
13717   88.64   89.06   0.39
13718  -89.99  -89.85   0.39
*** Average 13715-13718
***    -89.54  -89.55   0.20
** Chi2  7.24    4.04
***********************************
*** Average 13703-13718
***    -89.40  -89.45   0.11 
** Chi2  2.96    2.90
***********************************
***** Target 3 Att=120  Slit=15.50 Double Scan
*13719  Whole foil:-88.31+/-0.39 
*       Left part: -88.48+/-0.53 
*       Right part:-88.20+/-0.51
***** Target 5 Att=120  Slit=15.84
13720  -90.01  -90.73   0.47
13721   89.69   89.28   0.50
13722  -89.27  -90.37   0.50
13723   89.31   88.49   0.45
*** Average 13720-13723
***    -89.57  -89.68   0.24
** Chi2  0.55    4.83
*** Average 13699-13706 13720-13723
***    -89.53  -89.74   0.14
** Chi2  1.04    1.79
***** Target 5 Att=120  Slit=15.84 
*** Levchuk LLG234*RLG678
13724   92.13   93.26   0.72 
13725  -92.27  -91.77   0.64
13726   92.31   92.67   0.69
13728  -92.71  -92.71   0.69
13729   92.22   91.79   0.77
13730  -69.95  -93.54   0.71
*** Average 13724-13730
***    -92.33  -92.61   0.29
** Chi2  1.03     1.08
**************************************
*** Laser Phase study Att=165 Slit=14.60
*** Laser 1-ON, 0-OFF
*Run  Phase  B.cur  Coinc.R  Pol.Old.  Pol.New  Err.  Laser
13731 -148   0.600  50054    72.07     88.45    1.21  1
13732 -148   0.027   0         0        0       0     0
13733 -150   0.645  52578    84.14     89.55    1.17  1
13734 -152   0.645  52535   -83.20    -87.11    1.17  1
13735 -154   0.649  52008    84.59     89.81    1.15  1
13736 -156   0.655  51762   -84.45    -91.83    1.18  1
13737 -158   0.650  51892    87.20     90.87    1.18  1
13738 -160   0.643  52262   -85.22    -90.41    1.18  1
13739 -162   0.631  52575    88.12     84.90    1.28  1
13740 -164   0.630  51106   -87.02    -86.77    1.19  1
13741 -166   0.598  49185    90.23     89.68    1.21  1
13742 -168   0.571  45825   -89.11    -88.94    1.25  1
13743 -170   0.510  42207    90.36     91.06    1.30  1
13744 -172   0.457  37441   -87.94    -89.55    1.38  1
13745 -174   0.385  32510    89.26     86.73    1.48  1
13746 -176   0.308  24280   -89.45      0.0     1.71  1
13747 -176   0.027     30     0         0       0     0
13748 -178   0.027      0     0         0       0     0
13749 -178   0.221  16784    93.82     93.75    2.05  1
13750 -180   0.093   5752   -93.88    -88.58    3.50  1
13751 -180   0.027      0     0         0       0     0    
13752 -174   0.027     30     0         0       0     0
13753 -172   0.027     30     0         0       0     0
13754 -148   0.608  53242   -87.20    -86.47    1.68  1
13755 -148   0.602  52959    91.33     90.77    1.16  1
13756 -146   0.493  40029   -91.57    -91.95    1.34  1
13757 -146   0.027      0     0         0       0     0
13758 -144   0.027      0     0         0       0     0
13759 -144   0.310  24839    88.43     92.08    1.82  1
13760 -142   0.142   9697   -85.45    -83.88    2.69  1
13761 -142   0.027      0     0         0       0     0
*********************************************************
***** Target 5 Phase=-174 Att=165  Slit=14.6
13762  -89.65  -90.45   0.63
13763   89.61   89.37   0.63
13764  -90.58  -90.67   0.63
13765   89.10    0.0    0.62
*** Average 13762-13765
***    -89.73  -90.16   0.31
** Chi2  0.97    1.23
***** Target 5 Phase=-144 Att=165  Slit=14.6
13766  -87.11  -90.85   0.71
13767   34.66   88.81   0.77
13768   15.26    0.0    0.84   ! should be negative
13769   10.01   90.22   0.80
13770  -51.13  -89.20   0.77
*** Average 13766-13770
***    -37.36  -89.81   0.38
** Chi2  2584    1.58
**********************************************************








