*N  RUN   Factr   Asym(Cal)  As(Cal+Ap) Bp(Cal)  Pb(C+A)    Stat
1  14842. 16.482  0.0150442  0.0152547  24.7960  25.1429   2.8772
2  14843. 16.482  0.0190198  0.0186189  31.3486  30.6879   2.8798
3  14844. 16.482  0.0455232  0.0459020  75.0318  75.6561   2.0032
4  14845. 16.482  0.0473769  0.0476063  78.0871  78.4652   0.6894
5  14846. 16.482  0.0468978  0.0477942  77.2974  78.7749   0.7249
6  14847. 16.482  0.0476110  0.0477201  78.4729  78.6527   0.7392
7  14848. 16.482  0.0474070  0.0479279  78.1367  78.9952   0.7451
8  14849. 16.482  0.0467288  0.0468360  77.0189  77.1956   0.7440
9  14850. 16.482  0.0468146  0.0468329  77.1603  77.1905   0.7438
10 14851. 16.482  0.0466176  0.0471336  76.8356  77.6861   0.7122
11 14852. 16.482  0.0469309  0.0473278  77.3520  78.0062   0.4473
12 14853. 16.482  0.0467637  0.0468783  77.0764  77.2653   0.4540
13 14854. 16.482  0.0473148  0.0475990  77.9847  78.4531   0.3703
14 14855. 16.482  0.0470883  0.0471074  77.6114  77.6429   0.3703
15 14856. 16.482  0.0469237  0.0475130  77.3401  78.3114   0.4275
16 14857. 16.482  0.0470854  0.0473528  77.6066  78.0474   0.4272
17 14858. 16.482  0.0470104  0.0473613  77.4830  78.0614   0.4266
18 14859. 16.482  0.0471662  0.0476236  77.7398  78.4937   0.4264
19 14860. 16.482  0.0472399  0.0476308  77.8613  78.5056   0.4103
20 14861. 16.482  0.0474563  0.0476746  78.2179  78.5778   0.4185
21 14862. 16.482  0.0466944  0.0470791  76.9622  77.5962   0.4141
22 14863. 16.482  0.0471863  0.0474494  77.7729  78.2066   0.4161
23 14864. 16.482  0.0470857  0.0478022  77.6071  78.7881   0.4311
24 14865. 16.482  0.0472458  0.0476563  77.8710  78.5476   0.4428
25 14866. 16.482  0.0468346  0.0472211  77.1933  77.8303   0.4270
26 14867. 16.482  0.0473243  0.0477992  78.0004  78.7831   0.4266
27 14868. 16.482  0.0470320  0.0472535  77.5186  77.8837   0.4498
28 14869. 16.482  0.0473006  0.0475976  77.9613  78.4508   0.4195
29 14870. 16.482  0.0473970  0.0477371  78.1202  78.6808   0.3887
30 14871. 16.482  0.0470891  0.0474202  77.6127  78.1584   0.3885
31 14872. 16.482  0.0474086  0.0476198  78.1393  78.4874   0.3864
32 14873. 16.482  0.0476168  0.0479395  78.4825  79.0144   0.3883
33 14874. 16.482  0.0472938  0.0472056  77.9501  77.8047   0.3897
34 14875. 16.482  0.0471193  0.0473913  77.6625  78.1108   0.3895
35 14876. 16.482  0.0475751  0.0476700  78.4138  78.5702   0.4325
36 14877. 16.482  0.0470814  0.0472060  77.6000  77.8054   0.3922
37 14878. 16.482  0.0471740  0.0470529  77.7527  77.5531   0.3784
38 14879. 16.482  0.0474363  0.0471944  78.1850  77.7863   0.3807
39 14880. 16.482  0.0470846  0.0470125  77.6053  77.4865   0.4274
40 14881. 16.482  0.0472219  0.0473421  77.8316  78.0297   0.6099
41 14882. 16.482  0.0470736  0.0470488  77.5872  77.5463   0.5014
42 14883. 16.482  0.0472648  0.0472771  77.9023  77.9226   0.3795
42 14884. 16.482  0.0472550  0.0469196  77.8862  77.3334   0.4139
44 14885. 16.482  0.0472653  0.0473453  77.9031  78.0350   0.3984
45 14886. 16.482  0.0472943  0.0472067  77.9509  77.8066   0.4091
46 14887. 16.482  0.0473466  0.0472515  78.0371  77.8804   0.3973
47 14888. 16.482  0.0469416  0.0466819  77.3696  76.9416   0.3959
48 14889. 16.482  0.0470571  0.0466798  77.5600  76.9381   0.3993
49 14544. 16.224  0.0551609  0.0550338  89.4947  89.2885   0.6157
50 14545. 16.224  0.0558882  0.0561611  90.6747  91.1175   0.6181
51 14546. 16.224  0.0560718  0.0561552  90.9726  91.1079   0.6271
52 14547. 16.224  0.0557815  0.0556976  90.5016  90.3655   0.6270
53 14548. 16.224  0.0556714  0.0557053  90.3229  90.3779   0.5713
54 14549. 16.224  0.0550939  0.0555621  89.3860  90.1456   0.5926
55 14550. 16.224  0.0548795  0.0548618  89.0381  89.0094   0.6272
56 14551. 16.224  0.0550019  0.0551023  89.2367  89.3996   0.6253
57 14552. 16.224  0.0559609  0.0562536  90.7926  91.2675   0.4172
58 14553. 16.224  0.0556953  0.0562241  90.3617  91.2197   0.4974
59 14555. 16.224  0.0560077  0.0560149  90.8686  90.8803   0.5483
60 14556. 16.224  0.0559252  0.0562065  90.7347  91.1911   0.5486
61 14557. 16.224  0.0560620  0.0561208  90.9567  91.0521   0.5519
62 14558. 16.224  0.0563040  0.0565191  91.3493  91.6983   0.5836
63 14559. 16.224  0.0564179  0.0566655  91.5341  91.9358   0.6453
64 14560. 16.224  0.0566170  0.0568144  91.8571  92.1774   0.5465
65 14544. 16.224  0.0551609  0.0550338  89.4947  89.2885   0.6157
