* Moller results, September 10, 2005
*nn  run   Pb(old)   New    Scaller    Error
* Target 5, type 1
1   12050   84.95   85.81   85.8571   0.4278
2   12051   85.02   85.83   85.9058   0.4260
3   12052   84.47   85.30   85.2079   0.4300
4   12053   85.92   86.75   86.7816   0.4257
* Target 5,type 2
5   12054   85.41   86.25   85.4247   0.3709
6   12055   87.20   88.03   85.6354   0.3920
7   12056   86.96   87.81   83.6887   0.3998
8   12057   84.07   84.90   83.3442   0.3956
* Target 5, type 3
9   12058   85.09   86.29   85.9264   0.2726
10  12059   85.17   86.42   86.3726   0.2997
11  12060   85.09   86.41   86.0474   0.2545
* Target 4, type 1
12  12061   83.58   84.34   84.1827   0.4021
13  12062   83.36   84.11   83.8847   0.4082
14  12063   84.69   85.46   85.7351   0.3965
15  12064   83.52   84.28   84.5007   0.3989
* Target 4, type 2
16  12065   85.60   86.37   80.8992   0.3971
17  12066   81.84   82.46   85.7050   0.3691
18  12067   82.55   83.30   83.4890   0.3711
19  12068   81.46   82.20   81.6322   0.3877
* Target 4, type 2, shift 10mm of center
20  12069   84.03   84.84   83.9674   0.3725
21  12070   86.30   87.14   81.9257   0.3809
22  12071   82.36   83.14   84.1685   0.3572
23  12072   85.42   86.23   84.3187   0.3660
* Target 4, type 2, shift 5mm of center
24  12074   80.69   81.37   83.3051   0.3497
25  12075   80.73   81.58   84.5183   0.3565
26  12076   82.15   82.95   86.8091   0.3666
27  12077   79.08   79.87   83.5360   0.3564
* Target 4, type 3
28  12078   84.12   83.83   83.5742   0.1933
* Target 3, type 3
29  12079   82.79   84.34   84.3981   0.1526
* Target 2, type 1
30  12085   83.59   84.34   84.3850   0.3284
31  12086   84.19   84.93   84.9633   0.3310
* Target 2, type 3
32  12087   84.33   85.11   85.0293   0.1838
* Target 5, type 2
33  12088   87.09   87.81   86.4373   0.5276
34  12089   91.40   86.83   87.4921   0.6733
35  12090   85.47   86.13   86.4894   0.8319
* Target 3, type 2
36  12091   84.31   85.21   85.2218   0.3208
37  12092   83.88   84.64   84.6307   0.3201
38  12093   84.73   85.48   85.5476   0.3170
39  12094   83.99   84.73   84.6278   0.3212
