* Moller results, September26,2005
        Pb(old)    New    Scaller   Error
 T5/1   -84.82   -85.64   -85.87    0.16
 T5/2   -84.34   -85.15   -86.12    0.22
 T5     -84.66   -85.47   -85.95    0.13

 T4/1   -84.07   -84.89   -84.93    0.21
 T4/2   -83.66   -84.48   -83.61    0.22
 T4     -83.87   -84.69   -84.29    0.15

 T3/1   -83.41   -84.29   -84.62    0.19
 T3/2   -84.56   -84.66   -83.95    0.17
 T3     -84.06   -84.50   -84.24    0.13

 T2/1   -83.97   -84.74   -84.74    0.20
 T2/2   -84.70   -85.47   -84.19    0.19
 T2     -84.36   -85.13   -84.45    0.14
-----
 Av/1   -84.14   -84.97   -85.14    0.09
 Av/2   -84.37   -84.94   -84.38    0.10
 Av/12  -84.26   -84.96   -84.78    0.07
