run      Asymmetry                Beam Polarizaton  .
1306     0.05394+/-0.00043       0.87777+/-0.00706
1307     0.05196+/-0.00048       0.84555+/-0.00778
1308     0.05338+/-0.00025       0.86863+/-0.00412
1309     0.05293+/-0.00055       0.86144+/-0.00891
1310     0.05091+/-0.00085       0.82855+/-0.01386
1311     0.04827+/-0.00109       0.78557+/-0.01772
1312     0.05129+/-0.00090       0.83467+/-0.01464
1313     0.05239+/-0.00067       0.85255+/-0.01092
1314     0.04931+/-0.00078       0.80242+/-0.01264
1315     0.05099+/-0.00051       0.82984+/-0.00822
1316     0.05225+/-0.00045       0.85030+/-0.00738
1317     0.05476+/-0.00034       0.89111+/-0.00550
1318     0.05404+/-0.00029       0.87942+/-0.00478
1319     0.04843+/-0.00093       0.78808+/-0.01511
1320     0.04773+/-0.00077       0.77683+/-0.01257
1321     0.04849+/-0.00041       0.78913+/-0.00669
1322     0.04837+/-0.00049       0.78710+/-0.00803
1323     0.04856+/-0.00030       0.79032+/-0.00494
1324     0.05431+/-0.00022       0.88380+/-0.00361
1325     0.05365+/-0.00100       0.87309+/-0.01630
1326     0.05393+/-0.00024       0.87772+/-0.00394
1327     0.05417+/-0.00025       0.88151+/-0.00408
1328     0.05419+/-0.00029       0.88191+/-0.00478
1329     0.05451+/-0.00020       0.88712+/-0.00323
1330     0.05245+/-0.00026       0.85362+/-0.00418
1331     0.05246+/-0.00050       0.85367+/-0.00809
1332     0.05480+/-0.00028       0.89175+/-0.00452: 0.0566+/- 0.0004 14395
1333     0.05465+/-0.00028       0.88930+/-0.00463: 0.0560+/- 0.0004 14396
1337     0.05468+/-0.00018       0.88987+/-0.00286: 0.0561+/- 0.0003 14404 14405
1338     0.05505+/-0.00028       0.89584+/-0.00459:
1341     0.04853+/-0.00020       0.78975+/-0.00325
**************************************************
StartTime          Run   FADC_run#
Thu Apr 22 14:02  14357  1303
Thu Apr 22 14:03  14358  1303
Thu Apr 22 15:13  14361  1304
Thu Apr 22 15:17  14362  1304
Thu Apr 22 15:19  14363  1304
Thu Apr 22 15:21  14364  1304
Thu Apr 22 15:23  14365  1304
Thu Apr 22 15:26  14368  1304
Thu Apr 22 15:27  14369  1304
Thu Apr 22 15:29  14370  1304
Thu Apr 22 15:30  14371  1304
Thu Apr 22 16:11  14373  1306
Thu Apr 22 16:13  14374  1306
Thu Apr 22 16:15  14375  1307
Thu Apr 22 16:17  14376  1308
Thu Apr 22 16:19  14377  1308
Thu Apr 22 16:21  14378  1308
Thu Apr 22 16:23  14379  1308
Thu Apr 22 16:26  14380  1308
Thu Apr 22 16:33  14381  1310
Thu Apr 22 16:53  14382  1312
Thu Apr 22 17:04  14383  1314
Thu Apr 22 17:20  14384  1316
Thu Apr 22 17:28  14385  1317
Thu Apr 22 17:38  14386  1318
Thu Apr 22 17:50  14387  1321
Thu Apr 22 18:02  14388  1323
Thu Apr 22 18:18  14389  1324
Thu Apr 22 18:39  14390  1326
Thu Apr 22 18:52  14391  1327
Thu Apr 22 19:00  14392  1328
Thu Apr 22 19:08  14393  1329
Thu Apr 22 19:22  14394  1330
Thu Apr 22 19:52  14395  1332
Thu Apr 22 19:58  14396  1333
Thu Apr 22 20:04  14397  1334
Thu Apr 22 20:11  14398  1334
Thu Apr 22 20:21  14399  1334
Thu Apr 22 20:38  14402  1336
Thu Apr 22 20:47  14403  1336
Thu Apr 22 20:53  14404  1337
Thu Apr 22 21:04  14405  1337
Thu Apr 22 21:26  14406  1338
Thu Apr 22 21:40  14407  1339
Thu Apr 22 21:53  14408  1339
Thu Apr 22 22:02  14409  1339
Thu Apr 22 22:14  14410  1340
Thu Apr 22 22:24  14411  1340
Thu Apr 22 22:33  14412  1340
Thu Apr 22 22:44  14413  1341
