* April 3, 2010
 14235. 16.288 -0.0010000  -1.6288 515.0670
 14236. 16.288 -0.0187914 -30.6074  14.2197
 14237. 16.288 -0.0466369 -75.9622   3.9561
 14238. 16.288 -0.0530273 -86.3709   1.1781
 14239. 16.288 -0.0531332 -86.5434   0.8516
 14240. 16.288 -0.0525008 -85.5133   0.8603
 14241. 16.288 -0.0533939 -86.9680   0.8530
 14242. 16.288 -0.0534225 -87.0146   0.8733
 14243. 16.288 -0.0529576 -86.2573   0.6535
 14244. 16.288 -0.0523645 -85.2913   0.6446
 14245. 16.288 -0.0518507 -84.4544   0.6375
 14246. 16.288 -0.0536047 -87.3113   1.7179
 14247. 16.288 -0.0497723 -81.0691   0.6858
 14248. 16.288 -0.0525399 -85.5770   0.6310
 14249. 16.288 -0.0516686 -84.1578   0.6308
 14250. 16.288 -0.0527894 -85.9834   0.4830
 14251. 16.288 -0.0529432 -86.2339   0.4901
 14252. 16.288 -0.0530430 -86.3964   0.4917
 14253. 16.288 -0.0527400 -85.9029   0.4901
 14254. 16.288 -0.0525612 -85.6117   0.4905
 14255. 16.288 -0.0529135 -86.1855   0.4905
 14256. 16.288 -0.0530039 -86.3328   0.5254
 14257. 16.288 -0.0531682 -86.6004   0.5981
 14258. 16.288 -0.0538434 -87.7001   0.5923
 14259. 16.288 -0.0527037 -85.8438   0.5954
 14260. 16.288 -0.0534063 -86.9882   0.7118
 14261. 16.288 -0.0533492 -86.8952   0.6810
 14262. 16.288 -0.0535715 -87.2573   0.4913
 14263. 16.288 -0.0531606 -86.5880   0.4901
 14264. 16.288 -0.0522602 -85.1214   0.4893
 14265. 16.288 -0.0533452 -86.8887   0.4941
 14266. 16.288 -0.0531562 -86.5808   0.4967
 14267. 16.288 -0.0531144 -86.5127   0.5014
 14268. 16.288 -0.0527186 -85.8681   0.4953
 14269. 16.288 -0.0529765 -86.2881   0.5039
 14270. 16.288 -0.0532991 -86.8136   0.3784
 14271. 16.288 -0.0527260 -85.8801   0.3757
 14272. 16.288 -0.0528806 -86.1319   0.3731
 14273. 16.288 -0.0529451 -86.2370   0.3691
 14274. 16.288 -0.0529611 -86.2630   0.3544
 14275. 16.288 -0.0527695 -85.9510   0.3612
 14276. 16.288 -0.0527179 -85.8669   0.3620
 14277. 16.288 -0.0526902 -85.8218   0.3601
 14278. 16.288 -0.0486680 -79.2704   0.3567
 14279. 16.288 -0.0485723 -79.1146   0.3573
 14280. 16.288 -0.0485723 -79.1146   0.3554
 14281. 16.288 -0.0485723 -79.1146   0.3778
* April 5 Spin Dance
 14282. 16.288 -0.0544679 -88.7173   0.4033
 14283. 16.288 -0.0544031 -88.6118   0.4161
 14284. 16.288 -0.0546608 -89.0315   0.4027
 14285. 16.288 -0.0545210 -88.8038   0.4022
 14287. 16.288 -0.0453231 -73.8223   0.3920
 14288. 16.288 -0.0456580 -74.3678   0.3905
 14289. 16.288 -0.0455074 -74.1225   0.3903
 14290. 16.288 -0.0456593 -74.3699   0.3906
 14304. 16.288 -0.0543478 -88.5217   0.4026
 14240. 16.288 -0.0525008 -85.5133   0.8603
 14241. 16.288 -0.0533939 -86.9680   0.8530
 14250. 16.288 -0.0527894 -85.9834   0.4830
 14251. 16.288 -0.0529432 -86.2339   0.4901
 14256. 16.288 -0.0530039 -86.3328   0.5254
 14257. 16.288 -0.0531682 -86.6004   0.5981
 14262. 16.288 -0.0535715 -87.2573   0.4913
 14263. 16.288 -0.0531606 -86.5880   0.4901
 14304. 16.288 -0.0543478 -88.5217   0.4026
 14305. 16.288 -0.0542765 -88.4056   0.4028
 14235. 16.288 -0.0010000  -1.6288 515.0670
 14236. 16.288 -0.0187914 -30.6074  14.2197
 14237. 16.288 -0.0466369 -75.9622   3.9561
 14238. 16.288 -0.0530273 -86.3709   1.1781
 14239. 16.288 -0.0531332 -86.5434   0.8516
 14240. 16.288 -0.0525008 -85.5133   0.8603
 14241. 16.288 -0.0533939 -86.9680   0.8530
 14242. 16.288 -0.0534225 -87.0146   0.8733
 14243. 16.288 -0.0529576 -86.2573   0.6535
 14244. 16.288 -0.0523645 -85.2913   0.6446
 14245. 16.288 -0.0518507 -84.4544   0.6375
 14246. 16.288 -0.0536047 -87.3113   1.7179
 14247. 16.288 -0.0497723 -81.0691   0.6858
 14248. 16.288 -0.0525399 -85.5770   0.6310
 14249. 16.288 -0.0516686 -84.1578   0.6308
 14250. 16.288 -0.0527894 -85.9834   0.4830
 14251. 16.288 -0.0529432 -86.2339   0.4901
 14252. 16.288 -0.0530430 -86.3964   0.4917
 14253. 16.288 -0.0527400 -85.9029   0.4901
 14254. 16.288 -0.0525612 -85.6117   0.4905
 14255. 16.288 -0.0529135 -86.1855   0.4905
 14256. 16.288 -0.0530039 -86.3328   0.5254
 14257. 16.288 -0.0531682 -86.6004   0.5981
 14258. 16.288 -0.0538434 -87.7001   0.5923
 14259. 16.288 -0.0527037 -85.8438   0.5954
 14260. 16.288 -0.0534063 -86.9882   0.7118
 14261. 16.288 -0.0533492 -86.8952   0.6810
 14262. 16.288 -0.0535715 -87.2573   0.4913
 14263. 16.288 -0.0531606 -86.5880   0.4901
 14264. 16.288 -0.0522602 -85.1214   0.4893
 14265. 16.288 -0.0533452 -86.8887   0.4941
 14266. 16.288 -0.0531562 -86.5808   0.4967
 14267. 16.288 -0.0531144 -86.5127   0.5014
 14268. 16.288 -0.0527186 -85.8681   0.4953
 14269. 16.288 -0.0529765 -86.2881   0.5039
 14270. 16.288 -0.0532991 -86.8136   0.3784
 14271. 16.288 -0.0527260 -85.8801   0.3757
 14272. 16.288 -0.0528806 -86.1319   0.3731
 14273. 16.288 -0.0529451 -86.2370   0.3691
 14274. 16.288 -0.0529611 -86.2630   0.3544
 14275. 16.288 -0.0527695 -85.9510   0.3612
 14276. 16.288 -0.0527179 -85.8669   0.3620
 14277. 16.288 -0.0526902 -85.8218   0.3601
 14278. 16.288 -0.0486680 -79.2704   0.3567
 14279. 16.288 -0.0485723 -79.1146   0.3573
 14280. 16.288 -0.0487182 -79.3522   0.3554
 14281. 16.288 -0.0488738 -79.6056   0.3778
 14282. 16.288 -0.0544679 -88.7173   0.4033
 14283. 16.288 -0.0544031 -88.6118   0.4161
 14284. 16.288 -0.0546608 -89.0315   0.4027
 14285. 16.288 -0.0545210 -88.8038   0.4022
 14286. 16.288 -0.0007447  -1.2129   2.1242
 14287. 16.288 -0.0453231 -73.8223   0.3920
 14288. 16.288 -0.0456580 -74.3678   0.3905
 14289. 16.288 -0.0455074 -74.1225   0.3903
 14290. 16.288 -0.0456593 -74.3699   0.3906
 14291. 16.288 -0.0501950 -81.7576   0.3998
 14292. 16.288 -0.0510193 -83.1002   1.6012
 14293. 16.288 -0.0498365 -81.1737   0.4586
 14294. 16.288 -0.0507902 -82.7271   0.3979
 14295. 16.288 -0.0504165 -82.1184   0.4782
 14296. 16.288 -0.0519382 -84.5969   1.2872
 14297. 16.288 -0.0504594 -82.1883   0.4013
 14298. 16.288 -0.0499837 -81.4135   0.4244
 14299. 16.288  0.0000375   0.0611   0.4046
 14300. 16.288  0.0009563   1.5577   0.4024
 14301. 16.288  0.0009484   1.5448   0.4024
 14302. 16.288  0.0008594   1.3998   0.4027
 14303. 16.288  0.0014052   2.2887   0.8064
 14304. 16.288 -0.0543478 -88.5217   0.4026
 14305. 16.288 -0.0542765 -88.4056   0.4028
