 14561. 75.1868  2.0147 19.5824 67.8798
 14562. 75.1062  1.9341 20.4689 67.8798
 14563. 77.6044  1.0476 19.6630 67.8798
 14564. 76.0733  0.9670 19.5824 67.8798
 14565. 75.3480  0.5641 20.0659 67.8798
 14566. 74.7033  2.3370 19.5824 67.8798
 14567. 75.1868  2.0147 20.5495 67.8798
 14568. 74.7033  1.6117 18.9377 67.8721
 14569. 76.1538  1.9341 19.9048 67.8798
 14570. 75.2674  1.6117 19.9853 67.8798
 14571. 75.9121  1.9341 19.5824 67.8721
 14572. 75.2674  1.6117 20.6300 67.8798
 14573. 72.9304  0.8864 19.9048 67.8721
 14574. 75.5897  1.6117 19.0989 67.8721
 14575. 75.6703  2.9011 19.3407 67.8721
 14576. 74.3810  1.6923 19.4212 67.8798
 14577. 75.9121  1.2894 19.5018 67.8798
 14578. 76.5568  3.1429 19.9048 67.8721
 14579. 75.5897  1.2894 20.3077 67.8721
 14580. 74.1392  2.0952 20.7106 67.8798
 14581. 74.6227  2.1758 20.3077 67.8798
 14582. 74.5421  1.5311 18.0513 67.8798
 14583. 73.5751  2.1758 19.9048 67.8721
 14584. 75.9927  1.7729 20.7912 67.8721
 14585. 76.7180  1.3700 21.0330 67.8798
 14586. 75.5897  1.4505 18.7766 67.8798
 14587. 74.0586  1.6923 19.5018 67.8798
 14588. 75.9927  1.3700 19.5018 67.8798
 14589. 75.5092  2.0952 21.7582 67.8721
 14590. 75.6703  2.7399 18.1319 67.8798
 14591. 75.6703  2.4982 19.0183 67.8798
 14592. 74.8645  0.4835 20.7106 67.8798
 14593. 73.0110  2.3370 21.1136 67.8798
 14594. 75.1868  1.9341 19.5018 67.8798
 14595. 76.7180  1.8535 20.0659 67.8721
 14596. 75.8315  1.2088 20.6300 67.8798
 14597. 73.3333  1.7729 20.2271 67.8798
 14598. 73.7363  0.7253 18.6154 67.8798
 14599. 75.3480  3.5458 20.0659 67.8721
 14600. 74.3810  1.8535 20.3077 67.8798
 14601. 73.8974  1.4505 20.8718 67.8798
 14602. 76.5568  1.6117 21.1941 67.8798
 14603. 76.4762  0.9670 19.5824 67.8798
 14604. 75.1868  2.7399 21.1136 67.8798
 14605. 76.2344  0.0000 20.3883 67.8721
 14606. 75.1868  2.5787 19.0183 67.8721
 14607. 75.3480  1.9341 20.3077 67.8798
 14608. 74.8645  2.5787 19.9048 67.8798
 14609. 75.7509  1.7729 20.2271 67.8721
 14610. 75.2674  2.9011 19.5824 67.8798
 14611. 74.3810  1.4505 20.8718 67.8798
 14612. 74.3810  1.6923 19.5824 67.8798
 14613. 73.6557  2.0952 20.3077 67.8721
 14614. 75.3480  1.5311 19.6630 67.8798
 14615. 76.1538  0.6447 22.0806 67.8721
 14616. 74.8645  2.0147 18.8571 67.8798
 14617. 74.7839  2.5787 20.5495 67.8798
 14618. 76.7985  0.0000 19.5018 67.8721
 14619. 75.3480  2.4176 19.5018 67.8798
 14620. 74.8645  1.7729 19.7436 67.8798
