**************************************************************************************************************
*****                             MOLLER MEASUREMENT DATA SUMMARY                                        *****
**************************************************************************************************************
* MN     - measurement number
* TG     - target number
* runNN  - run number
* TP     run type 1-measurement in point, 2-transverse scan, 3-longitudinal scan
* p-bg   - substracted accidental background
* p+bg   - no substraction of accidental background
* err    - statistical error +/-
* av-bg  - averaged polarization for substracted bg
* av+bg  - averaged polarization without bg substraction
* err    - statistical error
* hi2    - hi2/ndf
* Xenc   - transverce foil coordinate (by encoder) range:RightLimit=0.65 LeftLimit=3.81
* Yenc   - longitudinal foil coordinate (by encoder) 
*          Y range: top=0.4 center=1.40 bottom=2.56  top-bottom=55mm
* BOP    - BOP current (1/2 of a real current), Amp
* T.Pol  - target polarization
* date   - date of measurement
*** Target number       1(old)       2       3       4       5       6
*** Target material     S-Mend     S-Mend    Fe      Fe     S-Mend   Al
*** Target thickness    13.4        29.4     14.3    9.3      6.8
******************************************************************************************
*MN TG runNN TP p-bg    p+bg   err  av-bg    av+bg    err  hi2   Xenc  Yenc BOP T.Pol date 
******************************************************************************************
*******************************          YEAR 2005          ******************************
*** Beam current = 0.36 uAmp Fast raster is OFF
*** Runs 11745 - 11756  --  New target test run                                     06.16
******************************************************************************************
*** Target 1 at center  Beam current =0.25 uAmp
002 1 11795 1 -87.95  -88.59  0.32    0       0      0     0   3.565  1.387 8.0 7.95 08.10
002 1 11796 1  88.59   89.16  0.40    0       0      0     0   3.565  1.387 8.0 7.95 08.10
002 1 11797 1 -89.07  -89.49  0.32    0       0      0     0   3.565  1.387 8.0 7.95 08.10
002 1 11798 1  88.45   88.93  0.33    0       0      0     0   3.565  1.387 8.0 7.95 08.10
002 1 11799 1 -88.90  -89.35  0.33    0       0      0     0   3.565  1.387 8.0 7.95 08.10
002 1 11800 1  89.24   89.66  0.34  -88.68  -89.17  0.14  2.0  3.565  1.387 8.0 7.95 08.10
*** Target 3 at center
002 3 11801 1 -84.15  -84.41  0.42    0       0      0     0   2.303  1.387 8.0 7.62 08.10
002 3 11802 1  84.33   84.58  0.42    0       0      0     0   2.303  1.387 8.0 7.62 08.10
002 3 11803 1 -84.73  -85.00  0.45    0       0      0     0   2.303  1.387 8.0 7.62 08.10
002 3 11804 1  85.55   85.81  0.42  -84.69  -84.95  0.21  2.2  2.303  1.387 8.0 7.62 08.10
*** Target 3 shifted along foil for 3mm
002 3 11807 1 -84.80  -85.09  0.42    0       0      0     0   2.327  1.387 8.0 7.62 08.10
002 3 11808 1  84.64   84.94  0.42    0       0      0     0   2.327  1.387 8.0 7.62 08.10
002 3 11809 1 -84.97  -85.21  0.44    0       0      0     0   2.327  1.387 8.0 7.62 08.10
002 3 11810 1  84.52   84.73  0.43  -84.73  -84.99  0.21  2.2  2.327  1.387 8.0 7.62 08.10
*** Target 3 shifted along foil for -3mm
002 3 11811 1 -85.00  -85.25  0.42    0       0      0     0   2.266  1.387 8.0 7.62 08.10.
002 3 11812 1  84.41   84.65  0.42    0       0      0     0   2.266  1.387 8.0 7.62 08.10.
002 3 11813 1 -84.68  -85.95  0.43    0       0      0     0   2.266  1.387 8.0 7.62 08.10.
002 3 11814 1  85.05   85.23  0.42  -84.78  -85.02  0.21  0.4  2.266  1.387 8.0 7.62 08.10.
*** Target 3 shifted along foil for -3mm
002 3 11815 1 -85.74  -86.08  0.44    0       0      0     0   2.266  1.387 6.3 7.36 08.10
002 3 11816 1  85.64   85.97  0.44    0       0      0     0   2.266  1.387 6.3 7.36 08.10
002 3 11817 1 -85.91  -86.18  0.44    0       0      0     0   2.266  1.387 6.3 7.36 08.10
