* TARGET 4
* long scan 
* normalization on stand measurement
* left: -25.0<--->0.0;   right 0.0<--->30.0 mm
* aleft/aright - asymetry
* pleft/pright - polarization
* er           - statistical error
* aerr=(aleft-aright)/(sqrt(erl**2+err**2))
* perr=(pleft-pright)/(sqrt(erl**2+err**2))
* average polarization (from stand) 
* left:  6.85489(4Amp),  7.47323(8Amp)
* right: 6.59155(4Amp),  7.31126(8Amp)
*
*nn run  bop      aleft        er         aright         er        pleft       er       pright      er       aerr       perr
1 12001   4  0.40829E-01  0.25403E-03  0.39989E-01  0.20561E-03  0.83599  0.51876E-02  0.84547  0.43486E-02  2.57028  -1.40047
2 12002   4  0.40884E-01  0.15613E-03  0.39923E-01  0.16318E-03  0.83251  0.31694E-02  0.84691  0.34503E-02  4.25519  -3.07361
3 12291   4  0.40553E-01  0.12315E-03  0.39498E-01  0.10824E-03  0.82397  0.24955E-02  0.83716  0.22732E-02  6.43461  -3.9074
4 12292   4  0.40267E-01  0.14461E-03  0.39591E-01  0.11621E-03  0.82020  0.29250E-02  0.83768  0.24453E-02  3.64387  -4.58491
5 12351   4  0.41752E-01  0.16190E-03  0.41179E-01  0.14555E-03  0.84941  0.32985E-02  0.87084  0.30794E-02  2.63197  -4.74902
*****
6 12352 6.3  0.44420E-01  0.16207E-03  0.43661E-01  0.15143E-03  0.85604  0.31531E-02  0.86518  0.29949E-02  3.42192  -2.10177
*****-0.726109
7 12078   8  0.45041E-01  0.15959E-03  0.44237E-01  0.15735E-03  0.84361  0.30156E-02  0.84670  0.30027E-02  3.58743  -0.72611
8 12349   8  0.45562E-01  0.14672E-03  0.45042E-01  0.14703E-03  0.84970  0.27110E-02  0.86165  0.28381E-02  2.50345  -3.04472
  
