* TARGET 4
* long scan 
* normalization on scan
* left: -25.0<--->0.0;   right 0.0<--->30.0 mm
* aleft/aright - asymetry
* pleft/pright - polarization
* er           - statistical error
* aerr=(aleft-aright)/(sqrt(erl**2+err**2))
* perr=(pleft-pright)/(sqrt(erl**2+err**2))
* average polarization (from stand) 
* left:  6.85489(4Amp),  7.47323(8Amp)
* right: 6.59155(4Amp),  7.31126(8Amp)
*
*nn run  bop      aleft        er         aright         er        pleft       er       pright      er         aerr      perr
1 12001   4   0.40829E-01  0.25403E-03  0.39989E-01  0.20561E-03  0.83907  0.51778E-02  0.84512  0.43349E-02  2.57028  -0.89592
2 12002   4   0.40884E-01  0.15613E-03  0.39923E-01  0.16318E-03  0.83849  0.31894E-02  0.84431  0.34758E-02  4.25519  -1.23374
3 12291   4   0.40553E-01  0.12315E-03  0.39498E-01  0.10824E-03  0.82969  0.25231E-02  0.83306  0.22559E-02  6.43461  -0.99572
4 12292   4   0.40267E-01  0.14461E-03  0.39591E-01  0.11621E-03  0.82458  0.29581E-02  0.83527  0.24454E-02  3.64387  -2.78529
5 12351   4   0.41752E-01  0.16190E-03  0.41179E-01  0.14555E-03  0.85393  0.33361E-02  0.86989  0.30992E-02  2.63197  -3.50497
*****
6 12352 6.3   0.44420E-01  0.16207E-03  0.43661E-01  0.15143E-03  0.86469  0.31614E-02  0.86601  0.29713E-02  3.42192  -0.30425
*****
7 12078   8   0.45041E-01  0.15959E-03  0.44237E-01  0.15735E-03  0.84901  0.30279E-02  0.84147  0.29804E-02  3.58743   1.77468
8 12349   8   0.45562E-01  0.14672E-03  0.45042E-01  0.14703E-03  0.85823  0.27531E-02  0.85931  0.28303E-02  2.50345  -0.27352
  
