* TARGET 5
* long scan 
* normalization on foil thickness from long scan
* left: -20.0<--->5.0;   right 5.0<--->30.0 mm
* aleft/aright - asymetry
* pleft/pright - polarization
* er           - statistical error
* aerr=(aleft-aright)/(sqrt(erl**2+err**2))
* perr=(pleft-pright)/(sqrt(erl**2+err**2))
*
*nn run  bop      aleft        erl        aright         err      pleft      er         pright     er         aerr      perr   
1 12372   4  0.48491E-01  0.27467E-03  0.48281E-01  0.25357E-03  0.88987  0.51679E-02  0.89379  0.46355E-02  0.56177  -0.56466
*****
2 12373 6.3  0.49250E-01  0.17418E-03  0.49219E-01  0.15450E-03  0.88328  0.31592E-02  0.87366  0.27011E-02  0.13314   2.31444
***** 
3 12058   8  0.49105E-01  0.23182E-03  0.48764E-01  0.21263E-03  0.87013  0.41271E-02  0.85933  0.37520E-02  1.08403   1.93629
4 12059   8  0.49012E-01  0.24958E-03  0.48575E-01  0.23232E-03  0.86616  0.43978E-02  0.85859  0.41141E-02  1.28163   1.25702
5 12060   8  0.49082E-01  0.23747E-03  0.48995E-01  0.22723E-03  0.87150  0.42574E-02  0.86227  0.40249E-02  0.26470   1.57542
6 12253   8  0.46167E-01  0.28067E-03  0.46025E-01  0.27852E-03  0.87118  0.54295E-02  0.87946  0.53336E-02  0.35912  -1.08790
7 12254   8  0.46789E-01  0.20271E-03  0.45562E-01  0.18953E-03  0.88823  0.38123E-02  0.87394  0.36156E-02  4.42144   2.71976
8 12371   8  0.49464E-01  0.26364E-03  0.49361E-01  0.24765E-03  0.88270  0.47948E-02  0.86973  0.44794E-02  0.28475   1.97664
